Number,Word,Sentence,Mother tongue,Level,Error (annotation by experts)
36980,.,"Tengo una vida traquila , soy soltera pero tengo un niñom tiene seis años .",Árabe,A1,unsure
414477,EN,"SOY CASADA , TENGO DOS CHICOS , EN MI CASA PREFIRIO HACER DULCES QUE COSINER .",Árabe,A1,unsure 
91383,años,"Fatima tiene 21 años , es estudia en universidad .",Árabe,A1,No
225339,muy,Es muy bien y ayuda toda la familia .,Árabe,A1,Yes
293375,un,"Mi hermano tiene 20 años , es un estudiante en la universidad_de_sciencia_y_technología_de_Marrakech .",Árabe,A1,No
487007,llamo,"Yo me llamo Your_HARFOUF , Your es mi nombre y HARFOUF es mi apellido .",Árabe,A1,No
283456,tengo,"soy alto mideo aprximadmente 1.80 m y tengo pielo negro curto mi eijos marrones , no llevo gafas .",Árabe,A1,No
288132,tiene,"Tengo dos hermanos , Rachid tiene trenta_y_dos años , es engeniero en Paris , es casado y tiene dos niños .",Árabe,A1,Yes
253245,porque,voy a volver muy tarde porque tengo muchas estudias y el exámin es muy cerca ....,Árabe,A1,Yes
79091,",","Mi amiga se llama suha , su familia es mediana vosotros 6 personas .",Árabe,A1,No
530041,ojos,Mis ojos están negros .,Árabe,A1,Yes
160297,en,"Yo me llamo Larbi , yo soy de Tanger , una hermosa ciudad en el norte de Marruecos .",Árabe,A1,No
275846,soy,"Me llamo Samira , soy la nueva secretaria de el jefe Jorge , soy morena , baja , delgada , tengo los ojos marrones y el pelo leso y morrones tambián .",Árabe,A1,No
286936,tiene,"Mi marido se llama ALI , tiene cuarenta_y_dos años , vive en casablanca , es Director de emprese , tiene dos Hijas se llaman KENZA siete años y YASMINE tres años son en la escuela_JUAN_RAMON_JIMENEZ .",Árabe,A1,No
359941,barrio,Me llamo Mirna_AlJubeh ; yo soy Jordana y vivo en Amman en el barrio de clase media que se llama Jabal_Amman . tengo veinteocho años y estoy casada .,Árabe,A1,No
497815,marroqui,"Me llamo motaani_mustafa , marroqui de casablaca , tengo 24 anos , soy camarero en un restaurante italiano .",Árabe,A1,No
421223,Es,Es nervioso y antipatico .,Árabe,A1,No
78451,",","Me gusta hacer mucho deporte en la naturaleza para hacer footing y en el gimnasio por los cursos collectivos , una otra cosa que me encanta es el baile hispanico como la salsa , zumba y el flamenco .",Árabe,A1,No
485998,llama,"Mi madre se llama Malika tiene 50 años , es ama de casa .",Árabe,A1,No
295254,un,"MI padre es ingeniero y tiene un ferma de construction , mi madre es ama de casa y prefiere passar su con sus hijas .",Árabe,A1,No
263454,que,Es muy joven que mi madre .,Árabe,A1,No
534603,padres,Mis padres son mèdicos .,Árabe,A1,No
30967,.,Soy Marroquí pero vivo en Fez .,Árabe,A1,No
92665,años,Estoy casado tengo dos niños un hijo de trece años y una hija de hotcho anos,Árabe,A1,No
421573,Es,Es muy agradable .,Árabe,A1,No
306139,y,"Soy amable , sociable y tengo mucho amigos .",Árabe,A1,No
14389,.,Yo Soy Marroqui .,Árabe,A1,No
624485,veinticinco,"Asmae es el mejor , tiene veinticinco años es periodista y doctorante en derecho .",Árabe,A1,No
503406,mi,"mi familia es solo 3 persona , me madre y me hermano y mi .",Árabe,A1,No
555179,principales,"mis principales membros de mi familia son : mi madre , Beatrice_Chaoui , tiene 47 años .",Árabe,A1,No
339664,70,Mi abula Zhoaxian_Shi es 70 años . es mui similiar con mi madre .,Chino mandarín,A1,No
647319,ondulado,"Soy blanca , tengo el pelo negro y ondulado .",Chino mandarín,A1,No
381772,compañero,"Me llamo Pol , soy nuevo compañero de tu compañia .",Chino mandarín,A1,No
338264,21,"Se llama Hulio , tiene 21 años y el es un estudiante de chino .",Chino mandarín,A1,No
25712,.,Mi hermana se llama Sisi . es pageño hermana mia .,Chino mandarín,A1,No
125448,de,"Me llamo xuechun , mi apllído ea_wang , me numbre español es sara . soy china de shanxi , tengo 19 años , Hablo chino , inglés y un poco de español .",Chino mandarín,A1,No
269420,que,Me llamo Vicky que hace poco traigo este trabajo que es muy bueno .,Chino mandarín,A1,No
222588,muy,Estoy muy contento aquí .,Chino mandarín,A1,No
586593,simpatica,Yo creo que soy un_poco simpatica .,Chino mandarín,A1,No
320894,y,Ella trabaja en una empresa pequeña pero está ocupada támbien y está cansada a_veces .,Chino mandarín,A1,No
265570,que,"Mi madre , se llama Viento , también es abogada , y su edad es igual que mi padre .",Chino mandarín,A1,No
103437,con,"Está noche yo llego casa tarde , porque yo salo con mis amigos a un bar . quieremos beber y bailir , por eso no usdedes comen la cena con migo .",Chino mandarín,A1,No
216549,mis,Es trabajadora y barre mis casa a diaro .,Chino mandarín,A1,No
476617,ir,"Luego ir a el bar , está un_poco lejos de casa .",Chino mandarín,A1,No
533798,padre,Mi padre es muy alto .,Chino mandarín,A1,No
117550,de,Soy porfesora de Alamen .,Chino mandarín,A1,No
592577,Soy,Soy Chongqing de China .,Chino mandarín,A1,No
110880,de,"Mi madre se llama Ana , tiene 56 años támbien , y ella es una ama de casa amable .",Chino mandarín,A1,No
109098,de,Ahora estudio en Instituto_Cervantes de pekìn . lo que màs me gusta de mi clase es que es amable y tinen una profesora muy bien .,Chino mandarín,A1,No
28554,.,Mi carrera es Español .,Chino mandarín,A1,No
324538,y,"Soy alto y fuerte , peso 100 kilogramos y mido 185 centimetros .",Chino mandarín,A1,No
221875,muy,Chicas en China son muy delgado .,Chino mandarín,A1,No
186274,la,¡ Creo que Ronaldo es la persona muy bien !,Chino mandarín,A1,No
465174,hermana,"En mi casa tiene 5 miembros : mi madre , mi padre , mi hermana mayor , mi abuela+y abuela+y mi . nosotro viven en shanxi es una ciudad muy bonita tranqila y limpia .",Chino mandarín,A1,No
592251,Soy,Soy Chino .,Chino mandarín,A1,No
143248,el,Mi padres ahora viven en Gansu que está en el noroeste de China .,Chino mandarín,A1,No
322267,y,"Soy Felipe , esta es mi familia , somos tres , mis padres y yo .",Chino mandarín,A1,No
322694,y,El es chino y tiene 23 años .,Chino mandarín,A1,No
165713,gusta,"No me gusta los lugares que hay aire malo . no me gusta dormir hasta tarde , porqué la desayuna es muy importante . no me gusta la película gongfu .",Chino mandarín,A1,No
609020,todo,Eso es todo .,Chino mandarín,A1,No
354363,aprendo,Soy rubilado ( soy profesor de matematicas ) y aprendo español desde trés meses para visitar mi hijas qué vive en Mexico_DF .,Francés,A1,Yes
633164,vivo,Soy divorciada y vivo con mi hijo major .,Francés,A1,unsure 
369140,:,Tu hermana Carmen_Maria tiene 38 años es divorciado y no tiene hijos : es un profesora en la universidad_de_Madrid .,Francés,A1,unsure 
338950,40,"Tu hermano mayor se llama Alberto , tiene 40 años y vive ahora con su familia en LátinoAmerica . es architecto y trabaja en un famosa empresa mundial .",Francés,A1,No
39264,.,"Tengo el pelo castaño , pero soy mas y mas calvo tambien .",Francés,A1,No
152493,en,"Vivo en Bruselas , pero soy francès .",Francés,A1,No
372041,casada,Soy casada desde 1979 y tengo 2 hijos .,Francés,A1,Yes
50710,.,Estoy grande y tengo peligrosos morenos .,Francés,A1,Yes
