Ser,Estar,rigth sentence,original verb
"estas personas aspirantes con discapacidad deberán indicar en el proceso de inscripción las adaptaciones que consideren oportunas para participar en igualdad de condiciones, porque la comisión permanente de selección es obligada a facilitar estas adaptaciones para permitir a las aspirantes con discapacidad participar en las pruebas en igualdad de condiciones","estas personas aspirantes con discapacidad deberán indicar en el proceso de inscripción las adaptaciones que consideren oportunas para participar en igualdad de condiciones, porque la comisión permanente de selección está obligada a facilitar estas adaptaciones para permitir a las aspirantes con discapacidad participar en las pruebas en igualdad de condiciones",[Both],estar
"en reunión, que ha sido presidida por pablo iglesias, vicepresidente del gobierno ; e ione belarra, secretaria de estado de agenda 2030 ; ha participado enrique galván, director de plena inclusión españa como representante del consejo nacional de la discapacidad","en reunión, que ha estado presidida por pablo iglesias, vicepresidente del gobierno; e ione belarra, secretaria de estado de agenda 2030; ha participado enrique galván, director de plena inclusión españa como representante del consejo nacional de la discapacidad",[Both],estar
"por ello, cada tres años, las organizaciones de plena inclusión comparten estas prácticas en un encuentro estatal, que también es abierto a conocer experiencias desarrolladas desde otros ámbitos u organizaciones","por ello, cada tres años, las organizaciones de plena inclusión comparten estas prácticas en un encuentro estatal, que también está abierto a conocer experiencias desarrolladas desde otros ámbitos u organizaciones",[Both],estar
plena inclusión españa es impulsando la creación de servicios de empleo especializados en apoyo en los procesos de envejecimiento de personas con discapacidad intelectual o del desarrollo en entidades de 11 comunidades autónomas,plena inclusión españa está impulsando la creación de servicios de empleo especializados en apoyo en los procesos de envejecimiento de personas con discapacidad intelectual o del desarrollo en entidades de 11 comunidades autónomas,['Estar'],estar
el tipo de servicios dependen del tamaño de la entidad y el número de personas a las que apoya que son en un proceso de envejecimiento laboral precoz,el tipo de servicios dependen del tamaño de la entidad y el número de personas a las que apoya que están en un proceso de envejecimiento laboral precoz,['Estar'],estar
"el siguiente párrafo me recuerda a la educación inclusiva, pero también a la personalización que tantas y tantos reivindican : aquí soy preguntándome por qué las mujeres no hicieron versos en la época isabelina, y ni siquiera sé si las educaban ; si les enseñaban a escribir ; si tenían sus salas propias ; cuántas mujeres tenían hijos antes de los veintiún años ; qué hacían desde las ocho de la mañana hasta las ocho de la noche","el siguiente párrafo me recuerda a la educación inclusiva, pero también a la personalización que tantas y tantos reivindican: aquí estoy preguntándome por qué las mujeres no hicieron versos en la época isabelina, y ni siquiera sé si las educaban; si les enseñaban a escribir; si tenían sus salas propias; cuántas mujeres tenían hijos antes de los veintiún años; qué hacían desde las ocho de la mañana hasta las ocho de la noche",['Estar'],estar
la literatura debe ser abierta para todos,la literatura debe estar abierta para todos,[Both],estar
"ahí era : ¿ por qué los medios de comunicación no reflejan casi historias de personas con discapacidad intelectual ?, ¿ no las encuentran interesantes ?, ¿ quizá eso se debe a la falta de oportunidades que no les permite tener vidas más atractivas ?, ¿ o porque su vida no tiene que ver con el relato predominante de los goles en qatar o bombardeo en jersón ? woolf lo resumía en una frase aplicable también a la realidad y la historia de muchas otras personas : “ acumulación de vidas ignoradas ”","ahí estaba: ¿por qué los medios de comunicación no reflejan casi historias de personas con discapacidad intelectual?, ¿no las encuentran interesantes?, ¿quizá eso se debe a la falta de oportunidades que no les permite tener vidas más atractivas?, ¿o porque su vida no tiene que ver con el relato predominante de los goles en qatar o bombardeo en jersón? woolf lo resumía en una frase aplicable también a la realidad y la historia de muchas otras personas: “acumulación de vidas ignoradas”",['Estar'],estar
" sabrán lo que pueden ser significando para tantas otras ?, me sonrío, un tanto emocionada por la idea"," sabrán lo que pueden estar significando para tantas otras?, me sonrío, un tanto emocionada por la idea",['Estar'],estar
"una punzada, que ha sido ahí todo el paseo, me vuelve","una punzada, que ha estado ahí todo el paseo, me vuelve",['Estar'],estar
