Subset,Sentence,error (by experts)
train,"Y el tabaco es el único responsable de muchas tipos de el cáncer ,",No
train,Todos los vecinos estaban muy enfadados porque el gallo no dejaba de gritar todas las mañanas .,No
train,"Está bien , una vez tuve suficiente tiempo para esperar , a el final me contestaron , ¡ fue un chaval que ni sabía cómo tratar a los mayores de edad !",No
train,"El es mi hermano , es el tercero de cuatro hijos de nuestros padres .",No
train,Nosotros los adolescentes necesitamos que los adoltos nos apoyen y ayuden pero que no sean muy severos .,No
train,"Sin_embargo , lo que es más importante es el impacto en las personas alredador .",No
train,Era una historia cuando estaba una estudiante de la escuela segundaria .,Sí
train,En realidad pienso que fumar es malo en_general .,No
train,Ella es un_poco alta y muy delgada .,No
train,"Querría saber momentos de el estudio , en_particular cuanto tiempo dura el programa y cuales son los condiciones de admisión , también es importante saber el precio y si se puede pagar por las partes .",No
train,¿ Era muy simpatico te acuerdas de esta tarde en el bar de el paseo_de_Gracia ¿,No
train,"Para mi esta tema es muy interesante , porque ahora el promación es el grande parte de nuestra vida .",No
train,No me describo fisicamente porque soy timido .,No
train,Como el padre es debajo_de el coche sin una rueda Jack sabe que nadie daria en cuenta si se golparia el coche matando su padre,Sí
train,"Estoy muy interesado , porque también me gustaría contar les sobre mis últimas vacaciones .",No
train,"Mi madre , se llama Viento , también es abogada , y su edad es igual que mi padre .",No
train,"Manana , somos ir una barca en el mar . Esperanza que estas aqui con nosotros , pero tengo muchas las photografias para ti cuando regresamos .",No
train,Soy policía y vivo en Brasília .,No
train,¡ Creo que Ronaldo es la persona muy bien !,No
train,Es muy trabajadora y activa y siempre hace algo .,No
train,"Este fin de semeana en su hotel es muy importante para nosotros , entonces queremos la servicio más buena y comida excelente .",No
train,"A mi el imagen tuvó un impacto muy grande , y creo que está la fundación en la que está basado la historia .",No
train,Es un bueno ejercicio en la evolutión de los personajes en un mundo tipico y remoto .,No
train,"Estoy estudiando sociologia y espanol para mi carerra , y tomando sociologia , espanol , y ciencia environmental .",No
train,"En mis vaciones de verano estuve en São_Francisco_do_Sul , Santa_Catarina , Brasil , en la casa de mi hermano .",No
train,El Jefe de Miss_Sloane es el actor de el informatico,No
train,"En mi casa tiene 5 miembros : mi madre , mi padre , mi hermana mayor , mi abuela+y abuela+y mi . nosotro viven en shanxi es una ciudad muy bonita tranqila y limpia .",No
train,"Mi padre se llama Hassan_M._Youssef y el trabaja como periodista y escritor , está una persona muy amable , creatívo , y inteligente , por esa razon y otros razones , lo admiro .",Sí
train,"Pues , lo que estoy tratando de explicar es que , fumar es un decision que cada persona hacer por su mismo conscientemente .",No
train,Durante la primera semana con tu compañía me habían llamado para comprobar que todo estaba instalado y funcionanado .,No
train,Zidane es una persona un_poco nerviosa como pudemos veer la fina de el mundial de el año 2006 cuando frappado el jugador de Italia .,No
train,Creo que Almodovar ha elogido muy bien porque las dos actrices han caído muy bien y era posible ver que tenían una raporte muy bien .,No
train,"No me gusta los lugares que hay aire malo . no me gusta dormir hasta tarde , porqué la desayuna es muy importante . no me gusta la película gongfu .",No
train,Espero que vayas bien y tu familia también y que siguas trabajando porque en estos tiempos de crisis no es evidente .,No
train,"De_hecho , desde hace cuatro años estoy aprendiendo español .",No
train,"Eso así , llevaría la ropa más profesional cuando esté en una entrevista ...",No
train,Creo que eran mis mejores vacaciones .,No
train,Mis ojos están negros .,Sí
train,"Para comparar estas vacaciones con otras de los años pasados , yo estaba mucho más ocupado este vez .",No
train,Fueron unas vacaciones tranquilas no como las de el año pasado que fueron mas devertidos .,No
train,Tengo los tarjetas de Visa y Mastercard si es aceptable para pagar .,No
train,Es la responsabilidad de el gobierno de poner límites y restricciones como hacen con la droga .,No
train,"El tercer motivo es un ejemplo personal , para mí , tengo alergía de los cigarros .",No
train,Recientemente estoy pensando que si es posible que yo vaya a Manchester a visitar te y ser la bartender de el bar tuyo .,No
train,Lamento decir le que no estoy contenta y es poco decir .,No
train,"Hay muchas formas para cambiar nos una cultura , todavía seguramente que a promulgación de leyes prohibitivas es la peor .",No
train,Tiene los ojos negros y grandes . su nariz es alta y sexa .,No
train,Mi correo electronico es dana.renee@gmx.es .,No
train,Visto la mayoria de los paises co mis hijos cuando fueron jovenes .,No
train,Me gustan mucho los animales ... Estaba miembra de una asociacion de defencia de los animales .,Sí
train,Otra pregunta muy importante es la estructura organizativa .,No
train,"Azarias acompañó a Ivan para la caza , pero mientras_que Ivan estaba mirando en el cielo los pajaros Azarias le colgo con una cuerda en el árbol , le mató .",No
train,"En_cuanto_a mis méritos académicos , gradué de la Universidad con honores y soy muy orgullosa de esto .",Sí
train,"Estoy alta , delgada , llevo los gafas , tengo los ojos verdes y el pelo marron .",Sí
train,"La gente dice que la vida es carrissima en Doha , y no se que hacer .",No
train,Me llamo Nailya y mi apellido es Saifulina .,No
train,Es una maleta roja pequeña .,No
train,Estuve fantástico .,No
train,"Adelante , todas estas carreras son un medio para atingir mi sueño profisional que es ser Traductora .",No
train,"Ella siempre estaba feliz , siempre contaba chistos , y siempre sonría .",No
train,Soy una chica con el pelo moreno y los ojos verdes .,No
train,Mi madre es rubio .,No
train,"si puedes confirmar me la disponibilidad de esta reservación , serías muy amble de su parte .",No
train,Es contradictorio .,No
train,Por eso estoy muy le admira .,No
train,Eso es todo .,No
train,Ella es una profesora y trabaja en una universidad .,No
train,"Es sobre un hombre de otra planta en universo viene ,",No
train,Una pista para ella es que no trata bien a el hijo de 17 años .,No
train,"Se estaba feliz o triste , mover se a un ritmo a hacía sentir se viva .",No
train,"Cómo sabes , estoy estudiando español hace 2 años y siento que para mejorar mi nivel necesito vivir algunos meses ( dos o tres ) en España para estar en la posición de hablar español cada dia .",No
train,¿ Cuanto tiempo dúra el programa y cuales son las condiciones de admisión ?,No
train,Hemos sido amigos por más de 15 años .,No
train,Cambie hace poco y este mes es mi primer mes usando su servicio .,No
train,"Gunnar antes era un tenista exitoso , pero una vez perdió el partido por un error tonto de el juez .",No
train,Me interesa muchisimo este profil por eso estoy escribiendo a usted para solicitar la admision en el programa de postgrado de lengua de una universidad latinoamericana .,No
train,Cruzé el estrecho en el barco y fue muy bonito .,No
train,"observe tambíen que juegan los restos en la calle , no tienen persepcíon de que isto suya los ríos y la agua que es potable , sin contar que es un atitud muy fea , malo ejemplo y mal educado .",No
train,El sabor de esta comida fue como basura y nunca hemos ido a este mercado nada .,No
train,Por dos horas estuve en competencia con mi padre que pescaba más de siete y yo no pescaba nada .,No
train,"Era muy gracioso , todos estaban reiendo se .",No
train,Simple y graciosa a la primera vista es una obra cinematográfica que toca temas bastante profundos que nos llevan a reflexionar .,No
train,"Soy rusa , soy de Moscu .",No
train,Por la mayoria de el tiempo quede in las hoteles y la gente estaban muy amable y come muchos comidas de cada region .,Sí
train,"Un hombre de el pueblo bastante guapo y que tiene una bonita finca fue , hace muchos años , el novio de Laura antes_de que ella se fue a Argentina dejando a el novio y sin decir nada .",No
train,Por este medio le envio mi carta para que sea tomado en cuenta en sus puestos disponibles .,No
train,y es el mejor de el mundo en futbal,No
train,"La carretera estaba de tierra , muy estrecha , y cruzar otro vehiculo estaba un milagro .",No
train,¿ Que son la disponibilidad para fechas concretas ?,Sí
train,"Próhibo fumar en lugares públicos , es para mí una victoria para los que no fuman .",No
train,"Hoy me voy dicir quién son las personas de mi família , creo que tu tienes curiosidade de saber como son cada uno de elles .",No
train,Soy Juan y llegará a su ciudad mañana por la tarde .,No
train,"Mi hermano tiene 20 años , es un estudiante en la universidad_de_sciencia_y_technología_de_Marrakech .",No
train,Ella me dijó es ¨ chucho ¨ .,No
train,"Les dijo , no es confortable .",No
